105,6,1318333972,1318334104,1793,80,0.7,14,958,19,27052,-0.932,1,12715.6,88690,31016.5,0,8881.9,88690,26602.7,0,2.9,41,10.2,54,68.4,248,49.8,60,1423.8,1514,326.6,HTTP
66,6,1318333972,1318334104,1754,80,7.126,28,15388,24,12530,0.102,14,3571.7,95090,17028.3,0,4868.9,95090,19725.8,0,268.8,3434,776.9,54,549.6,1484,607.5,60,522.1,1484,524.7,HTTP.Google
113,6,1318333972,1318333972,1801,80,7.119,17,4090,19,21521,-0.681,1,3563.8,60233,14167.3,1,4658.1,60233,16043.1,0,17.1,103,26.8,54,240.6,509,222.1,60,1132.7,1514,522.6,HTTP.Facebook
31,17,1318333972,1318334759,1900,1900,0.12,65,24258,0,0,1,65975,65977.3,65981,2,0,6825.2,65981,20093,0,0,0,0,335,373.2,401,28.1,0,0,0,0,SSDP
110,6,1318333972,1318333972,1798,80,7.119,15,2116,17,20689,-0.814,1,5588.9,60762,17447.8,0,5586.6,60762,17448.5,0,52.5,510,136,54,141.1,487,172.8,60,1217,1514,550.2,HTTP.Facebook
37,6,1318333972,1318333972,1731,80,7.126,18,5906,15,15990,-0.461,10,1376.7,11381,2956.5,0,1547.4,11381,3123.3,0,1600.2,11450,3346.6,54,328.1,758,307.2,60,1066,1484,466.2,HTTP.Google
97,6,1318333972,1318333972,1785,80,7.126,14,2069,18,18398,-0.798,1,6602.2,62309,18595.5,0,6590.2,62309,18599.8,0,246.4,3622,902.2,54,147.8,707,228.1,60,1022.1,1484,581,HTTP.Google
73,6,1318333972,1318333972,1761,80,0.7,14,1456,14,17453,-0.846,1,5329,62508,17242.3,0,5811,62508,17931.5,0,120.9,1191,340,54,104,440,121.8,60,1246.6,1514,505.9,HTTP
88,6,1318333972,1318333972,1776,80,7.126,19,4787,16,13128,-0.466,10,4214.4,61081,13907.7,0,5030.5,61081,15103.4,0,1028.9,7748,2263.1,54,251.9,761,291.5,60,820.5,1484,606.9,HTTP.Google
141,6,1318334104,1318334104,1822,80,0.7,15,2280,17,13904,-0.718,2,172.1,798,240.1,0,140.7,622,186.7,0,61.4,600,157.5,54,152,542,194.7,60,817.9,1514,700.4,HTTP
129,6,1318333972,1318334104,1810,80,7.12,14,1618,14,14316,-0.797,2,5985.2,60822,17369.7,0,5982.6,60822,17370.6,0,138.6,1295,385.9,54,115.6,341,116.5,60,1022.6,1514,651.7,HTTP.Twitter
116,6,1318333972,1318333972,1802,8080,0.7,13,1720,15,13865,-0.779,1,6789.4,60013,18818.7,0,6086.3,60013,17976.9,0,82.2,738,205.4,54,132.3,451,143,60,924.3,1514,675.8,HTTP
168,6,1318334497,1318334497,1830,80,0.7,10,3032,10,11277,-0.576,4,35.8,101,27.9,0,26.6,101,30.8,0,9.9,24,11.4,54,303.2,882,378.9,60,1127.7,1514,574.1,HTTP
194,6,1318334628,1318334628,1855,80,0.7,12,3343,13,10906,-0.531,1,87.4,262,88.5,0,63.7,262,93,0,69.2,262,95,54,278.6,970,387.5,60,838.9,1434,592.1,HTTP
190,6,1318334628,1318334628,1851,80,7.126,10,1607,13,12521,-0.773,3,29.7,109,34.1,0,12.9,52,18.1,0,7.1,38,11.5,54,160.7,622,212.1,60,963.2,1484,634.8,HTTP.Google
207,6,1318334628,1318334628,1868,80,0.7,10,1289,12,12649,-0.815,6,27.3,37,9.9,0,19.3,37,15.2,0,13,38,15.5,54,128.9,795,222,60,1054.1,1434,585.9,HTTP
79,6,1318333972,1318333972,1767,80,7.119,10,1888,11,11918,-0.726,5,3039,14602,5782.3,0,2170.9,14602,5076,0,1677.1,14808,4643.3,54,188.8,905,279.6,60,1083.5,1514,627.6,HTTP.Facebook
29,6,1318333841,1318333972,1723,80,7.126,10,1110,12,12554,-0.838,1,10782.8,64483,24015.5,0,9242.4,64483,22551.9,0,19.8,108,36.8,54,111,616,168.4,60,1046.2,1484,578.9,HTTP.Google
205,6,1318334628,1318334628,1866,80,0.7,12,3723,12,8647,-0.398,1,29.2,81,22.2,0,32.3,81,23.9,0,31.8,117,36.2,54,310.2,751,303.1,60,720.6,1434,531.2,HTTP
214,6,1318334628,1318334628,1875,80,0.7,8,829,10,11277,-0.863,1,51.4,200,75.2,0,38.8,202,73.6,0,28.8,200,65.3,54,103.6,443,128.3,60,1127.7,1514,603.8,HTTP
64,6,1318333972,1318333972,1752,80,0.7,15,3689,13,8353,-0.387,2,238.8,2220,540.3,0,315.8,2220,606.8,0,58.3,204,63.9,54,245.9,541,234,60,642.5,1514,618.6,HTTP
181,6,1318334497,1318334497,1843,80,0.7,16,3277,13,8247,-0.431,2,477.7,5800,1302.3,0,661.8,5800,1497.3,0,166.3,705,233.6,54,204.8,542,222.7,60,634.4,1514,625.2,HTTP
216,6,1318334628,1318334628,1877,80,7.126,8,2834,10,8374,-0.494,16,191,485,174.2,0,156.5,485,215.5,0,117.4,502,173.5,54,354.2,1387,522.2,60,837.4,1484,643,HTTP.Google
25,6,1318333841,1318333841,1719,80,7.126,10,1499,10,9583,-0.729,1,73.3,342,109.4,0,82.6,342,113.4,0,14.8,76,25.5,54,149.9,573,190.8,60,958.3,1484,618.6,HTTP.Google
80,6,1318333972,1318333972,1768,80,7.119,9,2944,10,7869,-0.455,1,7783.9,61588,20336.2,0,8866.9,61588,21523.5,0,72.9,251,96.8,54,327.1,1514,494.7,60,786.9,1514,649,HTTP.Facebook
140,6,1318334104,1318334104,1821,80,0.7,14,3137,13,7138,-0.389,1,162.5,766,207.7,0,240.6,766,230.6,0,66.3,178,63.1,54,224.1,541,227,60,549.1,1514,645,HTTP
172,6,1318334497,1318334497,1834,80,0.7,12,2452,12,7566,-0.51,1,567.1,5659,1481.6,0,790.4,5659,1735.3,0,84.2,240,86.8,54,204.3,511,211.3,60,630.5,1514,650.7,HTTP
127,6,1318333972,1318333972,1808,80,0.7,12,2054,11,7780,-0.582,1,302.1,2764,726.7,0,432.2,2764,842.8,0,122.8,827,267.7,54,171.2,526,201.4,60,707.3,1514,683.6,HTTP
126,6,1318333972,1318333972,1807,80,0.7,12,2493,13,6895,-0.469,31,119.5,743,200.3,0,137.8,743,222.6,0,45.4,147,48.4,54,207.8,525,216.1,60,530.4,1514,657,HTTP
165,6,1318334497,1318334497,1827,80,0.7,14,4361,12,4832,-0.051,2,56.8,341,75.1,0,91.7,341,96.4,0,108.8,542,165.5,54,311.5,512,221.9,60,402.7,1179,420.1,HTTP
8,17,1318333841,1318334628,1025,53,5.68,36,2847,36,6217,-0.372,1,11726.5,432813,58623.3,15,26776.8,432827,86335.1,15,26790.4,432825,86347,71,79.1,90,4.6,90,172.7,375,62.4,DNS.MSN
4,17,1318333841,1318334628,1026,53,5.212,37,2876,37,5857,-0.341,1,376.2,6455,905.6,14,847,6599,1255.3,14,847.8,6550,1241.6,70,77.7,89,5,90,158.3,375,68.5,DNS.Microsoft
75,6,1318333972,1318333972,1763,80,7.12,7,684,7,7610,-0.835,1,12743.2,63642,25449.4,0,12738.6,63642,25451.7,0,9.6,24,11.4,54,97.7,352,103.8,60,1087.1,1514,649.6,HTTP.Twitter
52,6,1318333972,1318333972,1746,80,0.7,7,786,7,7496,-0.81,48,53,59,5,0,43.4,59,22.1,0,41.6,108,40,54,112.3,454,139.5,60,1070.9,1514,642.1,HTTP
56,6,1318333972,1318333972,1750,80,0.7,7,786,7,7432,-0.809,2,85.8,179,68.1,0,75.8,179,75.8,0,55.4,180,66,54,112.3,454,139.5,60,1061.7,1514,639,HTTP
55,6,1318333972,1318333972,1749,80,0.7,7,786,7,7242,-0.804,1,69.2,174,66.9,0,73.8,175,73.1,0,54.2,175,63.7,54,112.3,454,139.5,60,1034.6,1514,634.3,HTTP
196,6,1318334628,1318334628,1857,80,0.7,8,1337,8,6592,-0.663,1,56.2,153,57.7,0,32.2,153,55.9,0,37,153,59.3,54,167.1,951,296.3,60,824,1434,638.3,HTTP
54,6,1318333972,1318333972,1748,80,0.7,7,782,7,7098,-0.802,1,77.6,165,58.3,0,67.8,166,66.3,0,53.6,166,60.7,54,111.7,450,138.1,60,1014,1514,635.3,HTTP
132,6,1318333972,1318334104,1813,80,7.124,8,849,10,6731,-0.776,3,12864.8,64223,25679.1,0,10720.3,64223,23927.1,0,8.5,55,17.9,54,106.1,463,134.9,60,673.1,1484,589.4,HTTP.YouTube
50,6,1318333972,1318333972,1744,80,0.7,7,786,7,6728,-0.791,32,47,55,8.1,0,38,56,20.7,0,37.6,79,32,54,112.3,454,139.5,60,961.1,1514,656,HTTP
86,6,1318333972,1318333972,1774,80,0.7,13,3686,10,3806,-0.016,28,139.2,788,188.1,0,152,393,127,0,147.7,507,168.5,54,283.5,555,246.8,60,380.6,931,348.6,HTTP
204,6,1318334628,1318334628,1865,80,0.7,7,980,8,6482,-0.737,1,21.7,34,14.7,0,19.2,34,15.3,0,20.2,36,16.2,54,140,648,207.4,60,810.2,1434,642.5,HTTP
93,6,1318333972,1318333972,1781,80,0.7,8,941,9,6392,-0.743,2,262.3,1235,441.1,0,250.5,1235,447.6,0,255.5,1268,459.7,54,117.6,555,165.3,60,710.2,1514,719,HTTP
47,6,1318333972,1318333972,1741,80,0.7,7,786,7,6541,-0.785,1,36.6,48,17.9,0,27.2,46,21.8,0,27.8,49,22.8,54,112.3,454,139.5,60,934.4,1514,675.7,HTTP
53,6,1318333972,1318333972,1747,80,0.7,7,786,7,6365,-0.78,1,68.3,179,65.2,0,72.8,183,72.4,0,56.4,179,65,54,112.3,454,139.5,60,909.3,1514,699.3,HTTP
36,6,1318333972,1318333972,1730,80,0.7,7,830,8,6304,-0.767,1,37,84,26.6,0,23.8,86,33.6,0,25.7,85,30.5,54,118.6,498,154.9,60,788,1514,719.1,HTTP
43,6,1318333972,1318333972,1737,80,7.126,14,5192,8,1906,0.463,33,5726.1,60878,15630.6,0,7284.5,60878,17309.5,0,3182.2,10884,4478.3,54,370.9,1484,454.1,60,238.2,384,150.9,HTTP.Google
49,6,1318333972,1318333972,1743,80,0.7,7,786,7,6244,-0.776,1,30.8,49,19.5,1,27.2,44,19.4,0,28.8,51,23.7,54,112.3,454,139.5,60,892,1514,718.2,HTTP
87,6,1318333972,1318333972,1775,80,0.7,12,3149,9,3769,-0.09,2,151.4,734,177.8,0,220,734,207.2,2,170.8,656,244.8,54,262.4,556,245.3,60,418.8,1189,399.1,HTTP
211,6,1318334628,1318334628,1872,80,0.7,13,3021,14,3855,-0.121,10,473.5,3622,1055,0,799.9,3622,1282.9,0,86.7,270,113.6,54,232.4,465,192.1,60,275.4,1123,297.8,HTTP
51,6,1318333972,1318333972,1745,80,0.7,7,786,6,6029,-0.769,8,61.2,165,49,8,64.8,165,53,0,38.7,69,28.8,54,112.3,454,139.5,60,1004.8,1514,669.5,HTTP
62,6,1318333972,1318333972,1751,80,0.7,7,786,6,5962,-0.767,1,83.8,189,67.7,0,74.8,190,75.3,0,79.7,189,80,54,112.3,454,139.5,60,993.7,1514,663.9,HTTP
41,6,1318333972,1318333972,1735,80,0.7,8,3402,7,3011,0.061,1,1904.1,10241,3632.5,0,1824.2,10241,3766.1,1,89,175,83.6,54,425.2,1514,519.8,60,430.1,1237,449.8,HTTP
85,6,1318333972,1318333972,1773,80,0.7,14,4178,11,2091,0.333,10,129.2,730,174.7,0,177,730,199.3,0,189.6,522,171.9,54,298.4,555,243.3,60,190.1,757,188,HTTP
131,6,1318333972,1318334104,1812,80,7.12,9,1324,7,4912,-0.575,72,2659.6,9867,3455.3,0,2659.9,9867,3455.7,0,802.5,3138,1348.7,54,147.1,469,172.1,60,701.7,1514,704.7,HTTP.Twitter
34,6,1318333972,1318333972,1728,80,0.7,13,3201,9,2856,0.057,1,247.1,2314,560,0,316.5,2314,669.3,0,90.8,278,91,54,246.2,497,207.2,60,317.3,948,307.7,HTTP
219,6,1318334759,1318334759,1879,445,0.16,11,4121,8,1577,0.446,1,77.2,189,69.6,0,43.2,189,64.6,0,33.5,99,44.6,54,374.6,1514,539,60,197.1,418,111.5,SMBv1
90,6,1318333972,1318334104,1778,80,7.126,10,3948,7,1447,0.464,5,9140.2,96786,27727.4,0,12568,96786,31844.1,5,61.2,191,75.3,54,394.8,1484,558,60,206.7,638,234,HTTP.Google
173,6,1318334497,1318334497,1835,80,7.119,6,828,4,4486,-0.688,5,13162.8,65339,26088.2,5,13162.8,65339,26088.2,0,90.7,272,128.2,54,138,550,184.3,62,1121.5,1514,613.6,HTTP.Facebook
72,6,1318333972,1318333972,1760,443,91.126,10,2189,7,3085,-0.17,8,410.1,2289,662.9,8,496.8,2289,715.8,0,149.2,358,155.1,54,218.9,1409,401.7,60,440.7,1484,501.2,TLS.Google
95,6,1318333972,1318333972,1783,80,0.7,7,3228,5,1881,0.264,1,3502.9,13338,5380,0,2196.4,10511,4158.9,1,3672,10836,5066.2,54,461.1,1514,555.9,60,376.2,952,391.8,HTTP
128,6,1318333972,1318334104,1809,80,0.7,6,720,5,4295,-0.713,23,39,55,16,0,19.8,56,22.9,0,14,56,24.2,54,120,442,144,60,859,1514,665.4,HTTP
48,6,1318333972,1318333972,1742,80,0.7,6,690,5,4321,-0.725,42,46.5,50,3,0,37.4,50,18.9,0,23,46,23,54,115,412,132.9,60,864.2,1514,667.7,HTTP
189,6,1318334628,1318334628,1850,80,0.7,10,2762,8,2168,0.12,15,333.4,2359,639,0,485.2,2359,744.2,0,115.6,305,117.7,54,276.2,507,220.7,60,271,736,264.6,HTTP
